folder	url	phish	prediction	siamese_conf	vt_result	dynamic	runtime (layout detector|siamese|crp classifier|login finder total|login finder process)	total_runtime
pointercrate.com	https://pointercrate.com	0	None	None	None	False	2.924882173538208|0.0012073516845703125|0|0|0	2.944697618484497
nwahomepage.com	https://nwahomepage.com	0	None	None	None	False	1.5034186840057373|0.48088574409484863|0|0|0	1.9953584671020508
peoples.ru	https://www.peoples.ru	0	None	None	None	False	1.466841459274292|0.20883512496948242|0|0|0	1.6965570449829102
duet3d.com	https://duet3d.com	0	None	None	None	False	0.05818295478820801|0.18598604202270508|0|0|0	0.2545506954193115
manupatra.in	https://manupatra.in	0	None	None	None	False	1.507242202758789|0.21291041374206543|0|0|0	1.7519280910491943
kingautos.net	https://www.kingautos.net	0	None	None	None	False	1.5451939105987549|0.2928764820098877|0|0|0	1.928623914718628
osa.org	http://osa.org	0	None	None	None	False	1.5166656970977783|0.2171330451965332|0|0|0	1.7693870067596436
fpgadeveloper.com	http://fpgadeveloper.com	0	None	None	None	False	1.519474983215332|0.22452545166015625|0|0|0	1.7861113548278809
hostiran.com	https://www.hostiran.com	0	None	None	None	False	1.523047924041748|0.00028395652770996094|0|0|0	1.5728096961975098
cdormarcosfelice.com.ar	https://cdormarcosfelice.com.ar	0	None	None	None	False	1.1801533699035645|0.0003147125244140625|0|0|0	1.320469617843628
winekee.com	https://wwwwinekee.com	0	None	None	None	False	1.5299582481384277|0.1967487335205078|0|0|0	1.7437844276428223
silicon.fr	https://wwwsilicon.fr	0	None	None	None	False	0.05707836151123047|0.18384242057800293|0|0|0	0.2500956058502197
eisland.com.tw	https://eisland.com.tw	0	None	None	None	False	0.05883479118347168|0.18700838088989258|0|0|0	0.256397008895874
exoticads.com	https://exoticads.com	0	None	None	None	False	0.05752396583557129|0.18493080139160156|0|0|0	0.25162220001220703
cwcams.com	https://wwwcwcams.com	0	None	None	None	False	1.4856891632080078|0.19720983505249023|0|0|0	1.6988639831542969
